tract,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
06037481711,4249,49502.868598774956,white_nh,135,1708.7794828207427,0.031772181689809366,9.188033978452215e-5
06037481711,4249,49502.868598774956,black_nh,7,83.14779057843147,0.0016474464579901153,4.598063101976351e-6
06037481711,4249,49502.868598774956,asian_nh,3576,55346.49532062712,0.8416097905389504,0.0011234775612971293
06037481711,4249,49502.868598774956,hisp,381,15530.159551371476,0.089668157213462,8.381597937796679e-4
06037481712,5589,70895.1321587938,white_nh,14,94.60370839145979,0.0025049203793165147,3.042827071161795e-6
06037481712,5589,70895.1321587938,black_nh,0,106.79871767629642,0,3.4189899086499725e-6
06037481712,5589,70895.1321587938,asian_nh,4490,58537.52275015936,0.8033637502236536,4.092041714526918e-4
06037481712,5589,70895.1321587938,hisp,997,22912.20517179257,0.1783861155841832,6.612754244371202e-4
06037481713,2910,32159.717667057765,white_nh,23,230.96608494008737,0.007903780068728522,2.7512085842292442e-5
06037481713,2910,32159.717667057765,black_nh,0,53.21458597019614,0,6.284123471640173e-6
06037481713,2910,32159.717667057765,asian_nh,2302,20757.014439999628,0.7910652920962199,0.00482777255008708
06037481713,2910,32159.717667057765,hisp,567,13765.209116693304,0.19484536082474227,0.0014813564569057679
06037481714,2711,21821.306159403553,white_nh,83,1158.8954277953824,0.030616008852821838,1.5490008732840002e-4
06037481714,2711,21821.306159403553,black_nh,0,53.21458597019614,0,7.240551591075954e-6
06037481714,2711,21821.306159403553,asian_nh,2389,29806.080875084306,0.8812246403541129,0.0017498549545159887
06037481714,2711,21821.306159403553,hisp,176,4310.381463585887,0.0649206934710439,5.739709135034906e-4
06037481800,2931,10805.886863572952,white_nh,386,4802.616383810202,0.13169566700784716,5.372285176452214e-4
06037481800,2931,10805.886863572952,black_nh,12,53.21458597019614,0.0040941658137154556,6.173312888273632e-6
06037481800,2931,10805.886863572952,asian_nh,1708,9460.370839145979,0.5827362674854998,6.740835821717956e-4
06037481800,2931,10805.886863572952,hisp,741,13481.397991518923,0.25281473899692936,0.001488894473326528
06037481901,5992,35742.833122384305,white_nh,952,21821.306159403553,0.1588785046728972,5.826379991513682e-4
06037481901,5992,35742.833122384305,black_nh,23,289.7238569488456,0.0038384512683578105,8.05472139525875e-6
06037481901,5992,35742.833122384305,asian_nh,2234,18377.13990077697,0.3728304405874499,3.734617730705191e-4
06037481901,5992,35742.833122384305,hisp,2752,52523.165898319494,0.45927903871829107,0.001252885230315594
06037481902,3292,30864.82940844966,white_nh,190,2993.320460823533,0.057715674362089915,2.667192251084541e-4
06037481902,3292,30864.82940844966,black_nh,41,1038.0539721547286,0.012454434993924665,9.534384669253418e-5
06037481902,3292,30864.82940844966,asian_nh,1323,18048.983287294097,0.40188335358444716,0.0012054700885825785
06037481902,3292,30864.82940844966,hisp,1713,12784.804279339622,0.5203523693803159,0.0019508585227171124
06037482001,2794,13908.223316488205,white_nh,218,5410.519119372511,0.07802433786685756,6.822381782191893e-4
06037482001,2794,13908.223316488205,black_nh,0,53.21458597019614,0,6.81675811730169e-6
06037482001,2794,13908.223316488205,asian_nh,2090,12375.717149693739,0.7480314960629921,5.884061853871499e-4
06037482001,2794,13908.223316488205,hisp,429,7877.236906532645,0.15354330708661418,9.670665245890478e-4
06037482002,6849,61817.98024778042,white_nh,345,4553.173012074907,0.05037231712658782,9.372053451049963e-5
06037482002,6849,61817.98024778042,black_nh,59,1609.7412255984327,0.008614396262228062,3.4218607460555094e-5
06037482002,6849,61817.98024778042,asian_nh,4078,71219.22376918174,0.5954153891078989,0.0010510510642073657
06037482002,6849,61817.98024778042,hisp,2133,48694.672074352595,0.3114323258869908,9.102543546892437e-4
06037482101,4691,35056.58669081033,white_nh,248,6536.89452240833,0.05286719249626945,2.926049862084359e-4
06037482101,4691,35056.58669081033,black_nh,12,119.73281843294129,0.002558089959496909,5.430620411848824e-6
06037482101,4691,35056.58669081033,asian_nh,3178,33927.62446762317,0.6774674909400981,8.106151494994433e-4
06037482101,4691,35056.58669081033,hisp,1086,23841.612697591485,0.23150714133447026,9.980575032782785e-4
06037482102,3017,20062.26845649984,white_nh,203,2733.160262747018,0.06728538283062645,2.902931228061948e-4
06037482102,3017,20062.26845649984,black_nh,52,1658.8908084736836,0.01723566456745111,1.815950853502814e-4
06037482102,3017,20062.26845649984,asian_nh,1592,11060.134329875002,0.52767649983427245,6.013812983027196e-4
06037482102,3017,20062.26845649984,hisp,1071,14781.829436165592,0.35498839907192575,0.0013462160229474015
06037482201,3899,42468.56551583966,white_nh,59,816.3265306122448,0.015132085150038471,5.305824323980903e-5
06037482201,3899,42468.56551583966,black_nh,2,5.912731774466237,5.129520389843549e-4,3.8967423826911003e-7
06037482201,3899,42468.56551583966,asian_nh,2934,45269.352648257125,0.7525006411900488,0.0013959308270280386
06037482201,3899,42468.56551583966,hisp,806,12784.804279339622,0.20671967171069505,7.216056481753126e-4
06037482202,5079,36901.35900444379,white_nh,45,452.69352648257126,0.008860011813349085,1.7436524059323427e-5
06037482202,5079,36901.35900444379,black_nh,41,1038.0539721547286,0.008072455207718056,4.0147295581754094e-5
06037482202,5079,36901.35900444379,asian_nh,3861,42971.147716669286,0.7601890135853514,8.391268965482823e-4
06037482202,5079,36901.35900444379,hisp,1121,31942.05522861023,0.22071273872809608,0.0011685593360231874
06037482301,4792,55346.49532062712,white_nh,600,53362.40426455779,0.12520868113522537,0.002286030654117177
06037482301,4792,55346.49532062712,black_nh,22,427.1948707051857,0.004590984974958264,1.8552603179867373e-5
06037482301,4792,55346.49532062712,asian_nh,3196,63338.66095102596,0.6669449081803005,0.0016861575679293335
06037482301,4792,55346.49532062712,hisp,887,40487.80037139346,0.1851001669449082,0.0016805761922465338
06037482303,5947,140681.9966556111,white_nh,148,4471.503404440091,0.024886497393643854,1.239685981511885e-4
06037482303,5947,140681.9966556111,black_nh,0,106.79871767629642,0,3.019744237493872e-6
06037482303,5947,140681.9966556111,asian_nh,3592,115063.2385140566,0.604002017824113,0.00180225058768429
06037482303,5947,140681.9966556111,hisp,2199,85854.34354819338,0.36976626870691104,0.0018836673402294409
06037482304,3733,37841.483356583914,white_nh,89,851.4333755231382,0.02384141441200107,6.264261675233577e-5
06037482304,3733,37841.483356583914,black_nh,0,53.21458597019614,0,3.818692670829873e-6
06037482304,3733,37841.483356583914,asian_nh,2159,45011.04017886013,0.5783552102866327,0.0023216786312546247
06037482304,3733,37841.483356583914,hisp,1470,61214.88160678485,0.3937851593892312,0.003971709930169431
06037482401,3880,42719.48707051857,white_nh,53,427.1948707051857,0.01365979381443299,2.890622664405006e-5
06037482401,3880,42719.48707051857,black_nh,0,53.21458597019614,0,3.534819452797597e-6
06037482401,3880,42719.48707051857,asian_nh,2012,48963.331824354915,0.5185567010309279,0.00248937299409663
06037482401,3880,42719.48707051857,hisp,1807,46572.00136731922,0.4657216494845361,0.0024780985975536604
06037482402,7241,96874.19739285483,white_nh,351,3621.9177575964745,0.04847396768402154,7.341965949570355e-5
06037482402,7241,96874.19739285483,black_nh,0,106.79871767629642,0,2.0368964122613487e-6
06037482402,7241,96874.19739285483,asian_nh,4135,43223.54745429181,0.5710537218616213,0.0014268831174849134
06037482402,7241,96874.19739285483,hisp,2691,71219.22376918174,0.37163375224416517,0.0011031370074938446
06037482502,3285,28150.51597823375,white_nh,36,195.48969429328997,0.010958904109589041,1.8428908962406774e-5
06037482502,3285,28150.51597823375,black_nh,10,44.71503404440092,0.0030441400304414,4.167821440368359e-6
06037482502,3285,28150.51597823375,asian_nh,2509,19042.322225404427,0.7637747336377473,0.00328637180891284
06037482502,3285,28150.51597823375,hisp,693,10306.261028630557,0.21095890410958903,8.389649978181609e-4
06037482503,4447,67378.90448166592,white_nh,44,427.1948707051857,0.0098943107713065,2.1935440886447355e-5
06037482503,4447,67378.90448166592,black_nh,13,378.41483356583916,0.0029233190915223745,1.9106122399026607e-5
06037482503,4447,67378.90448166592,asian_nh,2637,43476.686283386145,0.5929840341803463,0.0010004262144132868
06037482503,4447,67378.90448166592,hisp,1594,42719.48707051857,0.3584438947605127,0.0017224331471783513
06037482521,5745,137959.1836734694,white_nh,307,6054.637337053427,0.05343777197563098,1.9538215642949603e-4
06037482521,5745,137959.1836734694,black_nh,37,355.1334522038784,0.006440382941688425,1.093335928934052e-5
06037482521,5745,137959.1836734694,asian_nh,3040,55060.83646677322,0.5291557876414273,0.002838665161583644
06037482521,5745,137959.1836734694,hisp,2288,129950.38848495486,0.3982593559617058,0.0032743078172850315
