tract,baplus,total,baplus_se2,total_se2,baplus_share,baplus_share_se2
06059099311,1514,2692,16915.586515276096,18048.983287294097,0.562407132243685,0.0015464152398917722
06059099402,522,4501,13669.496771094133,71219.22376918174,0.11597422794934459,6.274542696717869e-4
06059099404,1638,3302,19961.75201633392,17723.78303969845,0.49606299212598426,0.0014308005436390434
06059099405,1258,2905,26925.102317975627,24598.442364723167,0.4330464716006885,0.002643928055033217
06059099406,1653,3485,27183.04524163672,13908.223316488205,0.47431850789096125,0.001980531470076183
06059099407,663,1781,4747.923614896388,3920.510712207019,0.3722627737226277,0.0013255588311565883
06059099408,1372,3239,17463.99238735784,14930.017276263154,0.42358752701451063,0.0014093015645724784
06059099410,1204,3549,14979.166859138404,30227.36301401502,0.33925049309664695,9.130533068304987e-4
06059099411,1141,3653,14639.554327842501,20932.548664554095,0.3123460169723515,9.440188892408114e-4
06059099412,1579,3419,15682.41239456398,17241.52585434355,0.46183094472067854,0.0010269850942843473
06059099413,2478,6558,53630.324923088294,65810.18283275283,0.3778591033851784,0.0010285241246438003
06059099415,2257,4127,22117.31229386277,11973.281843294131,0.5468863581293918,0.0010883129772530284
06059099416,1570,3812,26160.51219038996,35056.58669081033,0.4118572927597062,0.0013910611816833711
06059099417,1937,3597,21176.818395986735,22001.274932788867,0.5385043091465109,0.0011436287939935394
06059099502,97,277,674.7905137609592,2191.0366681756454,0.35018050541516244,0.012296125621208139
06059099504,1159,2006,12040.16962149278,8426.012324350293,0.577766699900299,0.002293082297023534
06059099506,417,798,3137.4432978261466,3920.510712207019,0.5225563909774437,0.0032457213328420365
06059099508,1112,3784,21431.06586228878,66435.45421790263,0.2938689217758985,0.0010960365446286869
06059099509,1154,3360,15060.09737530141,26740.69899575946,0.34345238095238095,0.0010545791592660196
06059099510,1533,4621,24527.120037693665,24789.497510185607,0.3317463752434538,0.0010208514599657087
06059099511,1610,2767,23588.104322761246,11840.614924104546,0.5818576075171666,0.0025572919405312125
06059099512,1158,2388,14190.925804454873,10932.641050988072,0.4849246231155779,0.002037703627975303
06059099513,891,1914,13073.419499080754,16765.920492234916,0.46551724137931033,0.002576881906630805
06059099514,2330,4062,54495.06194510398,37135.281455271106,0.5736090595765633,0.0025622386839831827
06059099601,956,4576,18438.48449293706,39273.84262894836,0.2089160839160839,7.98687679469731e-4
06059099602,801,2390,10328.803318520708,16923.716521465984,0.33514644351464434,0.001475443070332148
06059099603,1808,4834,37423.15758354044,30439.112720688092,0.37401737691352915,0.0014192781049902515
06059099604,940,2808,10564.943043763455,7556.840753503755,0.33475783475783477,0.0012325009346810184
06059099605,1396,2727,16269.620568915661,14196.468990493435,0.5119178584525119,0.0016875205371881103
06059099701,950,4362,13301.429218133608,45269.352648257125,0.21779000458505274,5.862282800217333e-4
06059099702,1333,5634,31726.24051884221,94243.40129895325,0.23659921902733405,8.33299977147134e-4
06059099703,1559,4326,24646.113764654798,38078.362173298476,0.3603791030975497,0.001052712854313439
06059099801,614,4025,8237.543999039182,50317.71694644358,0.15254658385093167,4.361947497234501e-4
06059099802,625,3754,7284.855091878308,26344.545966870224,0.16648907831646245,4.6511359733976366e-4
06059099803,573,3911,7961.493334318788,41472.27021184209,0.14650984402965994,4.6229877105459754e-4
06059099902,665,2931,11432.636431666373,19548.969429328998,0.22688502217673148,0.0012136663774463437
06059099903,855,4117,13788.12095231936,61817.98024778042,0.20767549186300704,6.561752541387013e-4
06059099904,681,4338,8528.376493195738,33037.758335566,0.156984785615491,4.099312673472979e-4
06059099905,506,2928,7434.890660655389,40978.55710867417,0.17281420765027322,7.244771933338296e-4
06059099906,1305,3409,12659.528274868118,14634.38068753984,0.3828102082722206,9.048015130257247e-4
06059110001,939,3003,10188.006393141231,30439.112720688092,0.3126873126873127,7.997188962132959e-4
06059110003,900,2395,13579.697157269427,10805.886863572952,0.3757828810020877,0.0021014148127789702
06059110004,1379,3607,13488.788906237009,28559.972653615547,0.3823121707790407,7.159160428371999e-4
06059110005,821,2220,10101.163145203758,10805.886863572952,0.3698198198198198,0.0017497114007961523
06059110006,1340,2249,14122.190297576704,5500.318733197217,0.5958203646064918,0.0024060032132941327
06059110007,2010,3478,17417.429624633918,5774.152123502185,0.5779183438757907,0.0012804483349203055
06059110008,1929,3089,23569.627035966038,13061.224489795917,0.6244739397863386,0.001936315689814135
06059110010,1299,3460,13202.021415175395,22181.98279764599,0.3754335260115607,8.416137830674238e-4
06059110011,886,2053,7715.745419942535,9460.370839145979,0.43156356551388214,0.0014125856430066137
06059110012,2220,3745,28559.972653615543,12922.644838831866,0.5927903871829105,0.0017125780189878358
06059110014,1149,3331,13571.19760534363,22001.274932788867,0.3449414590213149,9.871861805477165e-4
06059110015,1326,2348,13774.447760090909,18048.983287294097,0.5647359454855196,0.0014543794741182418
06059110102,1748,4112,20242.97632135697,23841.612697591485,0.42509727626459143,9.424000944538961e-4
06059110104,1418,3757,17885.27452628856,18048.983287294097,0.3774287995741283,0.0010849520789586499
06059110106,1062,2407,12738.241516615699,11973.281843294131,0.44121312837557125,0.0017963487981944714
06059110108,954,2155,8134.810284457832,8094.52979924428,0.44269141531322503,0.0014100869888438454
06059110109,1639,3782,23556.692935209394,12375.717149693739,0.4333685880486515,0.001484419512724152
06059110110,1325,4041,21408.893118134532,25367.097495403774,0.32788913635238803,0.0011440299324257854
06059110111,1521,4060,20204.174019087037,27744.0156687392,0.3746305418719212,9.894899001251184e-4
06059110113,643,1654,6282.277510370377,8993.265028963146,0.3887545344619105,0.0017995744348294994
06059110114,1146,3376,16752.986391478276,11447.048715366636,0.33945497630331756,0.0013541666626015762
06059110115,1222,2800,13272.235104997182,18874.918007039843,0.43642857142857144,0.00123432798446535
06059110116,1655,3287,17848.68949843405,16296.966953372568,0.5034986309704899,0.0012696004000866932
06059110117,1942,4204,37200.32150479024,26542.252935578937,0.4619410085632731,0.001784382072366412
06059110118,1159,1763,6836.226568490682,5321.458597019614,0.6574021554169031,0.0014595124640080016
06059110201,1822,5374,46521.74314723626,52523.165898319494,0.33903982136211386,0.0014018173155906045
06059110202,1083,4735,18511.285002910172,177986.5300579263,0.2287222808870116,0.0012409532595570728
06059110203,1259,3575,14216.054914496353,29596.54844282666,0.35216783216783215,8.251103836111411e-4
06059110301,1698,5413,29876.29456490609,49773.74562319269,0.3136892665804545,8.524923326057816e-4
06059110302,927,3981,9558.300459160575,36668.175645088275,0.23285606631499622,4.776569993592941e-4
06059110303,890,3172,15910.79165935274,29806.080875084306,0.28058007566204285,0.0013481279499719214
06059110304,1064,3140,14813.240823717444,12511.340434770558,0.33885350318471336,0.00135671502779015
06059110401,1045,3766,22872.663778050828,56785.87596197374,0.2774827403080191,0.0013044249199218943
06059110402,567,3531,6396.097597028852,36204.02620079267,0.16057774001699235,4.381285085246107e-4
06059110500,1149,5794,29404.384660156502,104197.48524126716,0.19830859509837764,7.538383836296701e-4
06059110603,979,5602,39078.72248039098,112602.063912935,0.1747590146376294,0.001135661090240977
06059110604,3049,5426,49790.00563557247,51414.52869060707,0.5619240692959823,0.0011397330408800235
06059110605,2626,4476,57824.669025600284,38078.362173298476,0.5866845397676497,0.00223204845432595
06059110606,649,2743,9557.191821952865,24598.442364723167,0.23660226029894277,0.0010872012571586822
06059110607,1110,2920,16599.255365342153,17723.78303969845,0.3801369863013699,0.0016464270437758042
06059980000,0,0,212.85834388078456,53.21458597019614,NaN,.
06059990100,0,0,212.85834388078456,53.21458597019614,NaN,.
06061020104,342,899,4191.01819088885,17562.29155310834,0.3804226918798665,0.008330425280206897
06061020105,482,829,5737.567095647675,10932.641050988072,0.5814234016887817,0.013726452702348072
06061020106,479,1100,5953.012259679787,17401.539157990042,0.4354545454545454,0.007646862495841086
06061020107,498,1928,13077.854047911604,58537.52275015936,0.258298755186722,0.004568881966963798
06061020200,919,4800,27011.206474441293,71219.22376918174,0.19145833333333334,0.0010590526784739621
06061020300,759,3496,13376.816548258053,40487.80037139346,0.21710526315789475,9.38342448148923e-4
06061020401,453,1590,3057.6214188708527,8650.696131780009,0.2849056603773585,9.317011698584189e-4
06061020402,1180,2585,12016.518694394914,13622.934008370212,0.4564796905222437,0.001373473270227878
06061020501,893,2249,7562.014393806414,7769.69909738454,0.39706536238328144,0.0012528737392121312
06061020502,1280,3454,13650.280392827117,14341.700464703761,0.3705848291835553,9.790927418229741e-4
06061020601,3134,5576,57558.5960957493,44753.46680093495,0.562051649928264,0.0013965391963160964
06061020602,2358,5666,44245.71095980266,52523.165898319494,0.416166607836216,0.0010948625087721167
06061020604,2045,4256,35956.8001034728,36204.02620079267,0.4804981203007519,0.0015236158683608542
06061020605,2253,3998,32446.854703855282,19210.465535240808,0.5635317658829415,0.0016482869124637923
06061020606,1742,2912,15167.635184449515,6536.89452240833,0.5982142857142857,0.001512821606738694
06061020710,1463,3289,14785.894439260537,11840.614924104546,0.44481605351170567,0.0011502722965324261
06061020711,1369,2960,14333.200912777967,18377.13990077697,0.4625,0.001187250711157482
06061020712,542,2724,5136.685729067544,16608.863554475658,0.19897209985315711,6.036437059756363e-4
06061020713,578,2173,7243.835515192949,17401.539157990042,0.2659917165209388,0.0012733458920343643
06061020714,1042,2973,11101.89299803217,14051.976607754917,0.3504877228388833,0.0010607548994931565
06061020715,847,2249,10905.294666531167,10430.058850158443,0.3766118274788795,0.0018635686216681257
06061020717,1079,2316,9951.497122162582,7139.993163403887,0.46588946459412783,0.0015663620042142886
06061020805,848,2881,8186.916233220312,19210.465535240808,0.29434224227698713,7.858368409504651e-4
06061020806,517,2661,6634.824142422927,15228.610230873697,0.19428786170612553,8.558177696347945e-4
06061020901,272,1635,7171.404550955736,14781.829436165592,0.16636085626911315,0.0025296425133354097
06061020908,1083,4953,32292.01504051145,87644.79263864896,0.21865536038764385,0.001145502343491957
06061021003,1761,4448,42163.32073798283,42971.147716669286,0.395908273381295,0.001790670136979408
06061021034,1433,2953,15510.94317310446,14930.017276263154,0.4852692177446664,0.0013755553260688125
06061021035,2083,4936,60148.003067229605,40487.80037139346,0.4220016207455429,0.0021727758026461497
06061021037,567,1496,2708.7702441773454,2861.762178841659,0.3790106951871658,0.0010266596228761323
06061021038,1637,4307,36752.43207287442,28559.972653615547,0.3800789412584165,0.0017588258992090342
06061021039,749,1633,6061.289160299701,8878.33630509696,0.45866503368034295,0.00157255738231687
06061021040,844,3172,14006.89202797461,21108.821980580367,0.266078184110971,0.0012435853133721429
06061021043,1005,2305,9022.459142099575,5866.908103214125,0.4360086767895879,0.0014882555585378975
06061021044,1917,3998,25743.29505455419,24029.711477166693,0.47948974487243623,0.0012649279933856063
06061021045,483,1932,5392.780924049113,6438.964902393731,0.25,0.001336953740223903
06061021046,894,3054,11310.316793082104,20757.014439999628,0.29273084479371314,0.001021947689437063
06061021103,620,2479,9236.42612318807,9108.932844301144,0.25010084711577246,0.001410258177237006
06061021106,577,1654,2753.85482395765,3997.0066795391763,0.34885126964933494,8.288251665588003e-4
06061021108,388,2058,5090.122966343622,7556.840753503755,0.18853255587949466,0.0011383953431352088
06061021109,1670,3441,17074.121635978972,11840.614924104546,0.4853240337111305,0.0012064704205490783
06061021122,1424,2493,9604.493676148593,5058.711578791771,0.5711993582029683,0.0012797959261791703
06061021123,2615,5108,40479.67036520357,23096.60849400874,0.5119420516836335,0.0013194407026703007
06061021128,714,1982,9041.305974630686,7243.09642372114,0.3602421796165489,0.0020622884669073533
06061021129,605,2218,5429.735497639525,13061.224489795917,0.2727682596934175,9.061745477100344e-4
06061021130,663,1726,9317.35663935108,6536.89452240833,0.38412514484356897,0.0028038304324030762
06061021131,1300,3811,12659.528274868117,20582.219306916973,0.3411178168459722,7.06744032208293e-4
06061021203,1817,5006,42471.89142746279,59720.069105052615,0.36296444266879746,0.0013808511375279118
