cbsa	cbsa_name	medrent	ca	pnewmf
31140	"Louisville/Jefferson County, KY-IN Metro Area"	671	0	1.228866
31180	"Lubbock, TX"	757	0	
31340	"Lynchburg, VA"	679	0	
31420	"Macon, GA"	684	0	
31460	"Madera, CA"	877	1	
31540	"Madison, WI Metro Area"	824	0	4.105107
31700	"Manchester-Nashua, NH"	1019	0	
31740	"Manhattan, KS"	811	0	
31860	"Mankato-North Mankato, MN"	721	0	
31900	"Mansfield, OH"	573	0	
32580	"McAllen-Edinburg-Mission, TX Metro Area"	608	0	1.208889
32780	"Medford, OR"	818	0	
32820	"Memphis, TN-MS-AR Metro Area"	793	0	.7036338
32900	"Merced, CA"	807	1	
33100	"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"	1063	0	2.023124
33140	"Michigan City-La Porte, IN"	667	0	
33260	"Midland,* TX"	848	0	
33340	"Milwaukee-Waukesha-West Allis, WI Metro Area"	764	0	1.025833
33460	"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"	845	0	1.591406
33540	"Missoula,* MT"	744	0	
33660	"Mobile, AL"	695	0	
33700	"Modesto, CA"	978	1	
33740	"Monroe, LA"	657	0	
33780	"Monroe, MI"	757	0	
33860	"Montgomery, AL"	781	0	
34060	"Morgantown, WV"	683	0	
34100	"Morristown, TN"	600	0	
34580	"Mount Vernon-Anacortes, WA"	897	0	
34620	"Muncie, IN"	638	0	
34740	"Muskegon, MI"	649	0	
34820	"Myrtle Beach-Conway-North Myrtle Beac"	780	0	
34900	"Napa, CA"	1186	1	
34940	"Naples-Immokalee-Marco Island,* FL"	942	0	
34980	"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"	783	0	3.961909
35300	"New Haven-Milford, CT Metro Area"	1015	0	.569943
35380	"New Orleans-Metairie, LA Metro Area"	884	0	.215132
35620	"New York-Newark-Jersey City, NY-NJ-PA Metro Area"	1150	0	2.303688
35660	"Niles-Benton Harbor, MI"	586	0	
35840	"North Port-Sarasota-Bradenton, FL Metro Area"	913	0	1.745477
35980	"Norwich-New London, CT"	955	0	
36100	"Ocala,* FL"	821	0	
36140	"Ocean City,* NJ"	1007	0	
36220	"Odessa,* TX"	638	0	
36260	"Ogden-Clearfield, UT Metro Area"	784	0	1.566421
36420	"Oklahoma City, OK Metro Area"	713	0	.6538484
36500	"Olympia-Tumwater, WA"	934	0	
36540	"Omaha-Council Bluffs, NE-IA Metro Area"	753	0	1.583001
36740	"Orlando-Kissimmee-Sanford, FL Metro Area"	976	0	2.885489
36780	"Oshkosh-Neenah, WI"	620	0	
36980	"Owensboro, KY"	561	0	
37100	"Oxnard-Thousand Oaks-Ventura, CA Metro Area"	1381	1	1.271651
37340	"Palm Bay-Melbourne-Titusville, FL Metro Area"	873	0	.6122789
37460	"Panama City, FL"	919	0	
37620	"Parkersburg-Vienna, WV"	570	0	
37860	"Pensacola-Ferry Pass-Brent,* FL"	825	0	
37900	"Peoria, IL"	658	0	
37980	"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"	945	0	.8867855
38060	"Phoenix-Mesa-Scottsdale, AZ Metro Area"	883	0	1.768612
38220	"Pine Bluff, AR"	615	0	
38300	"Pittsburgh, PA Metro Area"	656	0	.4545566
38340	"Pittsfield, MA"	730	0	
38540	"Pocatello, ID"	575	0	
38860	"Portland-South Portland, ME"	833	0	
38900	"Portland-Vancouver-Hillsboro, OR-WA Metro Area"	867	0	3.222967
38940	"Port St. Lucie,* FL"	908	0	
39140	"Prescott, AZ"	782	0	
39300	"Providence-Warwick, RI-MA Metro Area"	831	0	.1792673
39340	"Provo-Orem, UT Metro Area"	797	0	4.03996
39380	"Pueblo,* CO"	642	0	
39460	"Punta Gorda,* FL"	931	0	
39540	"Racine, WI"	719	0	
39580	"Raleigh, NC Metro Area"	851	0	3.140528
39660	"Rapid City, SD"	739	0	
39740	"Reading, PA"	785	0	
39820	"Redding, CA"	885	1	
39900	"Reno,* NV"	873	0	
40060	"Richmond, VA Metro Area"	903	0	.9928266
40140	"Riverside-San Bernardino-Ontario, CA Metro Area"	1078	1	.6485898
40220	"Roanoke, VA"	704	0	
40340	"Rochester, MN"	715	0	
40380	"Rochester, NY Metro Area"	735	0	.5820985
40420	"Rockford, IL"	691	0	
40580	"Rocky Mount, NC"	706	0	
40660	"Rome, GA"	703	0	
40900	"Sacramento--Roseville--Arden-Arcade, CA Metro Area"	1005	1	.5575901
40980	"Saginaw, MI"	686	0	
41060	"St. Cloud, MN"	658	0	
41100	"St. George, UT"	851	0	
41140	"St. Joseph, MO-KS"	579	0	
41180	"St. Louis, MO-IL Metro Area"	734	0	.6915041
41420	"Salem, OR"	763	0	
41500	"Salinas, CA"	1157	1	
41540	"Salisbury, MD-DE"	882	0	
41620	"Salt Lake City, UT Metro Area"	835	0	2.731806
41660	"San Angelo,* TX"	627	0	
41700	"San Antonio-New Braunfels, TX Metro Area"	788	0	1.80051
41740	"San Diego-Carlsbad, CA Metro Area"	1249	1	2.072971
41860	"San Francisco-Oakland-Hayward, CA Metro Area"	1314	1	2.061963
41940	"San Jose-Sunnyvale-Santa Clara, CA Metro Area"	1412	1	3.32266
42020	"San Luis Obispo-Paso Robles-Arroyo Gr"	1137	0	
42100	"Santa Cruz-Watsonville, CA"	1284	1	
42140	"Santa Fe,* NM"	829	0	
42220	"Santa Rosa, CA"	1204	1	
42340	"Savannah, GA"	873	0	
42540	"Scranton--Wilkes-Barre--Hazleton, PA Metro Area"	632	0	.1403522
42660	"Seattle-Tacoma-Bellevue, WA Metro Area"	1017	0	4.031304
42680	"Sebastian-Vero Beach,* FL"	877	0	
43100	"Sheboygan, WI"	633	0	
43300	"Sherman-Denison, TX"	766	0	
43340	"Shreveport-Bossier City, LA"	691	0	
43580	"Sioux City, IA-NE-SD"	586	0	
43620	"Sioux Falls, SD"	653	0	
43780	"South Bend-Mishawaka, IN-MI"	670	0	
43900	"Spartanburg, SC"	639	0	
44060	"Spokane-Spokane Valley, WA Metro Area"	718	0	2.655341
44100	"Springfield, IL"	664	0	
44140	"Springfield, MA Metro Area"	780	0	.0558018
44180	"Springfield, MO"	638	0	
44220	"Springfield, OH"	641	0	
44300	"State College, PA"	826	0	
44700	"Stockton-Lodi, CA Metro Area"	995	1	.6426565
44940	"Sumter,* SC"	680	0	
45060	"Syracuse, NY Metro Area"	704	0	.8057343
45220	"Tallahassee, FL"	894	0	
45300	"Tampa-St. Petersburg-Clearwater, FL Metro Area"	900	0	1.693458
45460	"Terre Haute, IN"	615	0	
45500	"Texarkana, TX-AR"	670	0	
45780	"Toledo, OH Metro Area"	645	0	.2349966
45820	"Topeka, KS"	649	0	
45940	"Trenton,* NJ"	1082	0	
46060	"Tucson, AZ Metro Area"	768	0	.6134928
46140	"Tulsa, OK Metro Area"	688	0	.7560534
46220	"Tuscaloosa, AL"	738	0	
46340	"Tyler, TX"	798	0	
46540	"Utica-Rome, NY"	653	0	
46660	"Valdosta, GA"	730	0	
46700	"Vallejo-Fairfield, CA"	1201	1	
47020	"Victoria,* TX"	660	0	
47220	"Vineland-Bridgeton,* NJ"	903	0	
47260	"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area"	1022	0	1.162935
47300	"Visalia-Porterville, CA"	798	1	
47380	"Waco, TX"	743	0	
47580	"Warner Robins, GA"	806	0	
47900	"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"	1351	0	2.1441
47940	"Waterloo-Cedar Falls, IA"	622	0	
48140	"Wausau, WI"	629	0	
48300	"Wenatchee, WA"	714	0	
48540	"Wheeling, WV-OH"	500	0	
48620	"Wichita, KS Metro Area"	654	0	.6948935
48660	"Wichita Falls, TX"	667	0	
48700	"Williamsport, PA"	602	0	
48900	"Wilmington,* NC"	842	0	
49020	"Winchester, VA-WV"	804	0	
49180	"Winston-Salem, NC Metro Area"	666	0	1.128869
49340	"Worcester, MA-CT Metro Area"	867	0	.2865768
49420	"Yakima, WA"	718	0	
49620	"York-Hanover, PA"	796	0	
49660	"Youngstown-Warren-Boardman, OH-PA Metro Area"	588	0	.0581539
49700	"Yuba City, CA"	795	1	
49740	"Yuma, AZ"	781	0	
