tract,agecat,total,total_se2,age_ct,age_ct_se2,age_share,age_share_se2
06001401200,under18,2601,12511.340434770558,364,3335.1502665348617,0.13994617454825067,4.567664017314508e-4
06001401200,over65,2601,12511.340434770558,228,1658.8908084736836,0.08765859284890427,2.309987991475849e-4
06001401300,under18,4054,155653.0335085596,238,1375.0796832993042,0.058707449432659105,1.1631017289121097e-4
06001401300,over65,4054,155653.0335085596,639,7139.993163403887,0.1576221016280217,6.697418030885014e-4
06001401400,under18,4013,66122.44897959185,678,22181.98279764599,0.16895090954398206,0.001260205137851558
06001401400,over65,4013,66122.44897959185,335,2484.8255282194364,0.08347869424370795,1.8290993688689427e-4
06001401500,under18,2638,32817.13953123123,262,2861.762178841659,0.09931766489764973,4.577454023777881e-4
06001401500,over65,2638,32817.13953123123,322,4802.616383810202,0.12206216830932524,6.198650485308814e-4
06001401600,under18,2098,16142.127290028731,434,5058.711578791771,0.20686367969494757,9.923537586414212e-4
06001401600,over65,2098,16142.127290028731,160,1513.6593342633566,0.07626310772163966,3.225587144140637e-4
06001401700,under18,2769,48694.672074352595,486,12240.832956088729,0.17551462621885158,0.0014008437692276281
06001401700,over65,2769,48694.672074352595,261,3265.3061224489793,0.09425785482123511,4.8229580423881475e-4
06001401800,under18,1928,26740.69899575946,375,6835.117931282971,0.19450207468879668,0.0015666399677274536
06001401800,over65,1928,26740.69899575946,177,1658.8908084736836,0.09180497925311204,5.069067184849081e-4
06001402200,under18,2557,14196.468990493435,565,3769.7360519581302,0.22096206491982792,4.705547809658825e-4
06001402200,over65,2557,14196.468990493435,204,1330.3646492549035,0.07978099335158388,1.896538394564703e-4
06001402400,under18,2820,39273.84262894836,431,8537.984682329246,0.1528368794326241,9.58274559239223e-4
06001402400,over65,2820,39273.84262894836,418,4471.503404440091,0.14822695035460992,6.707909545727995e-4
06001402500,under18,1770,13765.209116693304,580,5774.152123502185,0.327683615819209,0.0013712826550294314
06001402500,over65,1770,13765.209116693304,159,1420.5338088155136,0.08983050847457627,4.1796903031195284e-4
06001402600,under18,1241,3127.8351086926396,139,1117.8758511100227,0.11200644641418211,7.003760002186807e-4
06001402600,over65,1241,3127.8351086926396,300,1658.8908084736836,0.24174053182917002,9.584592396369817e-4
06001402700,under18,1826,16296.966953372568,219,3621.9177575964745,0.11993428258488499,0.0010159622064205513
06001402700,over65,1826,16296.966953372568,146,2306.3349377777367,0.07995618838992333,6.604577897608587e-4
06001402800,under18,4255,25951.349303868225,282,3769.7360519581302,0.0662749706227967,2.01918974367235e-4
06001402800,over65,4255,25951.349303868225,670,4635.5817111815295,0.15746180963572268,2.2049890615890203e-4
06001402900,under18,1417,3997.0066795391763,68,310.78796389538155,0.04798870853916726,1.5019913584484807e-4
06001402900,over65,1417,3997.0066795391763,331,1038.0539721547286,0.2335920959774171,4.083673122733906e-4
06001403000,under18,3251,25561.109006753446,291,2078.6947644607862,0.08951091971701015,2.1605595490281404e-4
06001403000,over65,3251,25561.109006753446,1260,9460.370839145979,0.38757305444478624,0.0012583950411344774
06001403100,under18,1830,19042.322225404427,128,562.0790643101966,0.06994535519125683,1.9565852103922406e-4
06001403100,over65,1830,19042.322225404427,234,1969.3092266331612,0.12786885245901639,6.810175397712568e-4
06001403300,under18,4743,65187.86781349027,550,5866.908103214125,0.11596036263967953,2.9976271370716094e-4
06001403300,over65,4743,65187.86781349027,664,35973.06011585258,0.13999578325954037,0.0015422910428421713
06001403400,under18,4401,45011.04017886013,312,6438.964902393731,0.070892978868439,3.20760576048327e-4
06001403400,over65,4401,45011.04017886013,973,9818.46065723709,0.22108611679163825,6.205112277024342e-4
06001403501,under18,4698,39757.20845151098,551,12240.832956088729,0.11728395061728394,5.29828444267265e-4
06001403501,over65,4698,39757.20845151098,843,8537.984682329246,0.17943805874840357,3.288393968730253e-4
06001403502,under18,2066,19719.330013580806,103,1158.8954277953824,0.04985479186834463,2.600258806149994e-4
06001403502,over65,2066,19719.330013580806,235,4390.572888277085,0.11374636979670862,9.688600318579502e-4
06001403600,under18,5025,79219.14986003457,682,11973.281843294131,0.13572139303482586,4.1638738099475137e-4
06001403600,over65,5025,79219.14986003457,490,5321.458597019614,0.09751243781094528,2.4057732387334954e-4
06001403701,under18,2825,12106.687853955524,209,748.3301152058832,0.07398230088495575,1.0207153306825232e-4
06001403701,over65,2825,12106.687853955524,584,3477.0558291220514,0.20672566371681417,3.70856977976696e-4
