tract,medhhinc,medhhinc_se2
06001440301,82708,169300437.35737842
06001440304,85417,40571866.113579884
06001440305,117105,124760072.80050997
06001440306,81174,21221564.47187295
06001440307,55781,38742111.030016355
06001440308,85625,59867142.39521068
06001440331,82031,101501031.58692177
06001440332,162986,28695723.06242551
06001440333,127292,157003185.11469775
06001440334,113788,13441472.639757575
06001440335,137265,169648645.52249148
06001440336,94625,178437625.6686468
06001441100,98906,241051579.3460888
06001441200,120658,94343727.05351947
06001441301,122850,100048638.13157675
06001441302,115673,219472066.96168733
06001441401,122793,50215962.158516645
06001441402,134692,46928746.40847738
06001441501,145583,142008151.80938828
06001441503,157650,249255953.289419
06001441521,139219,181930079.72949252
06001441522,100938,401070624.25513446
06001441523,134250,120212228.63794681
06001441524,146250,313171652.5161445
06001441601,111458,259161066.13944805
06001441602,103588,66990990.84450439
06001441700,107074,17178379.35717519
06001441800,112264,202019996.48931554
06001441921,125563,26838068.38443843
06001441923,88048,25580842.74905073
06001441924,126795,16371739.359392466
06001441925,120711,49119221.367134444
06001441926,88704,14537184.246265277
06001441927,100625,9626967.96962334
06001442000,164107,163793316.39582047
06001442100,175417,195149860.0345525
06001442200,157041,417450725.6954389
06001442301,97292,38515416.893783316
06001442302,80233,52798554.70662688
06001442400,106726,70040110.12462929
06001442500,88963,92662567.78854592
06001442601,136750,145389353.3873486
06001442602,103056,92054984.34049945
06001442700,116528,75188402.17662437
06001442800,102788,19676909.489010632
06001442900,107824,66881573.156197734
06001443001,102111,15970833.972339502
06001443002,92455,52816224.90553486
06001443102,183750,238397354.42207667
06001443103,224931,364519784.1852903
06001443104,139139,111742249.60966733
06001443105,160250,75822276.58650602
06001443200,230804,600205319.9804142
06001443301,146875,63592141.240380265
06001443321,123531,22610169.52910635
06001443322,150132,34534377.54640108
06001444100,111467,43680447.889431916
06001444200,96563,123122295.24856569
06001444301,106103,143285993.66229063
06001444302,83492,17022521.595328942
06001444400,83222,24018937.001690667
06001444500,91067,7265400.726157371
06001444601,114318,109568079.00887835
06001444602,104759,39716813.03757357
06001450101,134005,61591485.66624477
06001450102,157102,166386474.99561164
06001450200,117390,83547378.90448168
06001450300,116953,67669376.29918422
06001450400,96050,70243759.38877134
06001450501,126850,8836e4
06001450502,158242,146579228.20373058
06001450601,129625,126299339.06745133
06001450602,146042,58510874.43759757
06001450603,133711,36740547.85155347
06001450604,146573,91588972.38569489
06001450605,130029,8578310.99121405
06001450606,176563,276287044.28081775
06001450607,90905,15160253.508374829
06001450701,199063,329803263.4583937
06001450741,128438,36065683.428645335
06001450742,140938,132215047.902366
06001450743,117392,20781404.82811504
06001450744,137566,62635918.36734693
06001450745,157202,459392120.9153647
06001450746,117292,158913228.4439353
06001450750,107306,74525697.65615617
06001450751,194417,152241094.96401548
06001450752,195250,162473378.47950408
06001451101,144476,190842887.63038033
06001451102,179397,77793472.34412098
06001451201,92381,51324812.22457295
06001451202,127500,185655119.9637845
06001451300,112939,123730122.22725214
06001451401,92388,30885215.029425077
06001451403,109028,61906763.24128565
06001451404,61543,73042740.18163174
06001451501,122222,213799506.28689685
06001451503,106333,72513766.13298103
06001451504,114671,119440317.07024139
06001451505,153194,160203265.30612245
06001451506,78013,153971136.26075146
06001451601,130595,238341041.1951109
06001451602,80862,209835918.36734694
06001451701,112240,336148261.74924475
06001451703,119815,565948191.9051007
06001451704,107321,222254626.62022707
06001981900,108036,127545785.42326844
06001982000,124063,1444231012.278157
06001983200,159044,81175170.59155035
06001990000,.,.
06003010000,63438,7600160.752395119
06005000101,49435,32785196.367365416
06005000102,56250,53935407.47036705
06005000200,66167,57815454.03312978
06005000301,75273,44236650.067904025
06005000303,64130,29324364.704686765
06005000304,69978,10084968.172873495
06005000401,50893,40540895.22454523
06005000402,69173,144350364.83402777
06005000500,56321,24233923.929010265
06007000102,57820,40039275.69035763
06007000103,77639,59191742.870076954
06007000104,42623,36175288.84618582
06007000201,54063,27287127.42860838
06007000202,38216,13503949.520052474
06007000300,27677,2715984.1464879294
06007000401,58996,21881920.898735233
06007000402,74082,22807156.62272152
06007000501,64301,65881100.13765579
06007000502,20991,13535242.283423103
06007000601,61667,102397175.19239476
06007000603,24884,21215964.006245323
06007000604,17235,6109461.664249221
06007000700,49349,12672734.361286389
06007000800,69911,61849380.17941445
06007000901,86582,18576362.00700289
06007000903,48197,15806062.397797506
06007000904,66506,60593684.46337339
06007001000,28780,47639366.22906293
06007001100,26540,22345017.50722924
06007001200,26890,16371739.359392466
06007001300,35855,9977149.508966101
06007001400,94943,241070456.1118245
06007001500,83203,67040755.72102992
06007001600,69737,373746437.6714923
06007001702,47663,17032555.50115021
06007001703,51852,6631016.34316017
06007001704,42083,36549191.15677054
06007001800,41343,74725251.98399866
06007001900,61406,8887285.224637615
06007002000,51344,15388331.223843092
06007002100,42178,29641239.82594396
06007002200,47168,68895045.6850916
06007002300,45621,6832900.656867544
06007002400,34429,13365802.607145166
06007002500,33568,26211910.089522455
06007002601,50887,57446263.06113211
