stplfips,med_age,med_rent,agg_rent,med_homeval,agg_homeval
0623168,1956,1815,1939900,793900,.
0634694,1949,883,23600,114300,12166000
0678666,1967,2347,2585200,1922000,.
0658870,1976,1376,1890000,451300,2001362500
0631393,1978,1241,3944400,446800,1071198000
0678176,1939,-666666666,.,65900,.
0686972,1982,972,11074400,230900,3087378200
0643294,1971,2307,718300,2000001,.
0648956,1968,2174,146500,2000001,.
0670280,1967,2397,3637400,1933900,.
0677000,1972,2147,63548500,968700,25478392600
0616560,1985,1387,1716100,458400,.
0624960,1971,1178,516900,440100,.
0630812,1972,1058,206200,544000,.
0653266,1953,-666666666,.,522100,246060000
0616322,1978,793,858900,156900,.
0631260,1963,787,874900,163300,200374800
0678106,1973,827,29200,156900,.
0611691,1969,1288,2936800,623500,3258350100
0666000,1976,1503,412558000,523600,145407748400
0607974,1969,-666666666,14000,265000,.
0638520,1978,1006,1979700,230800,312135500
0664224,1975,1232,28372700,342100,6190482200
0623182,1984,1445,22930200,341500,7338411100
0601228,1961,-666666666,.,292900,11213700
0638646,1990,-666666666,11800,-666666666,.
0668154,1975,1403,17330800,590800,4143767000
0621530,1963,-666666666,.,-666666666,.
0629252,1952,821,8500,87000,1383000
0644112,1968,2111,8809400,1476700,.
0644378,1963,3111,168800,2000001,.
0673906,1986,1592,3891700,1591300,.
0601192,1985,1406,2237100,526200,1956668000
0610559,1994,1944,2759700,-666666666,-666666666
0619584,1962,655,88000,101700,.
0610074,1982,1347,987800,620400,.
0657414,1981,1555,2429700,660000,.
0680686,1965,556,105200,76300,12425000
0655282,1962,2379,27107800,1989300,30476962100
0606560,1975,899,189600,171100,.
0654386,1966,797,2654900,160900,.
0655086,1977,1065,384000,174700,.
0607624,1976,1383,4322600,293900,782284300
0673178,1972,1012,419500,125100,121028400
0678470,1972,1052,892000,145600,244288500
0607596,1983,772,223900,205700,.
0618506,1971,2130,2307200,2000001,.
0621712,1973,1185,24850400,403700,4783852900
0611978,1973,1028,1063500,294400,.
0618688,1958,2156,397800,541900,247736700
0622034,1973,-666666666,.,454000,.
0665112,1994,1457,201500,575000,12525000
0603064,1980,1289,5569900,433900,3132906600
0605290,1980,1577,5022500,515800,.
0619402,1988,1243,2403300,331800,1282999000
0602868,1979,1169,2770600,510400,2600304600
0653294,1978,1094,1530400,340100,449426700
0671134,1990,1386,245600,267000,64653400
0611481,1958,-666666666,-666666666,108700,.
0659248,1977,956,144700,428400,.
0682590,1996,1188,17461100,177600,3183387000
0637918,1962,-666666666,-666666666,-666666666,.
0606994,2002,867,25900,-666666666,-666666666
0666004,1987,2128,1029700,435900,.
0657876,1948,950,81400,523000,.
0617106,1976,1364,305900,397500,312389800
0659550,1986,1718,3974700,560100,.
0602000,1972,1469,83442500,491400,23420003500
0628000,1968,1479,33895900,589600,14699010200
0608100,1976,1698,9942200,610700,.
0617750,1970,1751,9058000,576500,5998761100
0617946,1978,1941,11538100,833800,.
0636000,1972,1748,56647300,688700,33433309400
0663050,1959,2273,1203000,899300,.
0680854,1980,1696,22631000,585700,7735770000
0604576,2008,1621,580000,-666666666,-666666666
0602980,1969,1351,7114400,396400,931847400
0619150,1973,-666666666,.,1630100,476500000
0600618,1975,2881,1018200,1517700,.
0609346,1973,1555,217900,416700,.
0660620,1965,1329,23914400,371900,7052831000
0682842,1960,1428,481300,371400,364133900
0633861,1986,1247,593200,226500,320549000
0605108,1965,1913,8211900,1174200,7693200600
0608310,1981,1934,939800,777400,1136767500
0646870,1959,2111,10196400,1764600,13250012200
0647486,1960,2101,6222800,1131500,.
0679529,1974,1878,398700,1394100,.
0684536,1958,2775,524500,1862500,.
0604734,1990,880,73300,276900,.
0648844,1966,2453,1859300,2000001,7603818200
0606616,1977,997,155700,192500,.
0663148,1956,1104,130600,403300,30290000
0639411,1987,-666666666,.,463900,122540000
0684120,1971,1414,113400,417200,.
0685551,1977,1080,70000,277100,.
0601094,1973,-666666666,-666666666,-666666666,-666666666
0645022,1984,972,9035900,180400,1576251400
0649950,1973,1778,45700,1105300,121153000
0652582,1974,1863,12991200,677500,.
0645932,1976,785,306800,160300,.
0610256,1985,1143,3197300,385700,1972434500
0677364,1978,980,1576400,168400,257238700
0616651,1956,998,1595300,166200,435519500
0638065,1969,964,416000,99100,.
0646898,1982,908,14446200,185700,2080660700
0658380,1966,2485,887500,2000001,4101738900
0680238,1993,1603,15258100,378900,5851246000
0646618,1982,-666666666,-666666666,231300,49166000
0613077,1976,-666666666,-666666666,67700,11595000
0636735,1999,-666666666,.,-666666666,.
