stplfips,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
0641558,4931,158060.62397797508,hisp,1443,85854.34354819338,0.2926384100588116,0.002974261935352912
0641572,19072,321685.49810145877,white_nh,8148,166880.94160253508,0.4272231543624161,2.973736005762812e-4
0641572,19072,321685.49810145877,black_nh,789,25951.349303868225,0.04136954697986577,6.983208165517323e-5
0641572,19072,321685.49810145877,asian_nh,2305,83378.75666337156,0.12085780201342282,2.1630771013929364e-4
0641572,19072,321685.49810145877,hisp,6476,181077.4105930285,0.33955536912751677,3.9585224614783527e-4
0641656,419,12511.340434770558,white_nh,110,2607.5147125396106,0.26252983293556087,0.019764185848593782
0641656,419,12511.340434770558,black_nh,0,53.21458597019614,0,3.031116590256159e-4
0641656,419,12511.340434770558,asian_nh,0,53.21458597019614,0,3.031116590256159e-4
0641656,419,12511.340434770558,hisp,304,10805.886863572952,0.7255369928400954,0.02403647800150163
0641670,2102,51690.57935532746,white_nh,1501,4e4,0.7140818268315889,0.003087610160381188
0641670,2102,51690.57935532746,black_nh,9,72.4309642372114,0.004281636536631779,1.6607484785253325e-5
0641670,2102,51690.57935532746,asian_nh,0,53.21458597019614,0,1.2043847952834586e-5
0641670,2102,51690.57935532746,hisp,471,23654.25300948809,0.22407231208372977,0.004766189708114998
0641712,13167,178.8601361776037,white_nh,1426,34376.992082482604,0.10830105566947672,1.9827488157832295e-4
0641712,13167,178.8601361776037,black_nh,44,651.8786781349027,0.003341687552213868,3.760034020821199e-6
0641712,13167,178.8601361776037,asian_nh,177,11188.366700233737,0.01344269765322397,6.453447276021772e-5
0641712,13167,178.8601361776037,hisp,11386,44496.63251448158,0.8647376015797068,2.558857615130779e-4
0641740,865,71869.62426437302,white_nh,0,53.21458597019614,0,7.112110123318005e-5
0641740,865,71869.62426437302,black_nh,0,53.21458597019614,0,7.112110123318005e-5
0641740,865,71869.62426437302,asian_nh,0,53.21458597019614,0,7.112110123318005e-5
0641740,865,71869.62426437302,hisp,854,70249.16621243337,0.9872832369942196,0.1875138026545541
0641782,152,2927.1717740966915,white_nh,147,2993.320460823533,0.9671052631578947,0.011061218437182246
0641782,152,2927.1717740966915,black_nh,0,53.21458597019614,0,0.0023032628969094585
0641782,152,2927.1717740966915,asian_nh,0,53.21458597019614,0,0.0023032628969094585
0641782,152,2927.1717740966915,hisp,5,53.21458597019614,0.03289473684210526,0.002440355450375578
0641789,0,53.21458597019614,white_nh,0,53.21458597019614,NaN,.
0641789,0,53.21458597019614,black_nh,0,53.21458597019614,NaN,.
0641789,0,53.21458597019614,asian_nh,0,53.21458597019614,NaN,.
0641789,0,53.21458597019614,hisp,0,53.21458597019614,NaN,.
0641866,82,2545.800574643619,white_nh,70,2424.5895732670615,0.8536585365853658,0.08467890319842136
0641866,82,2545.800574643619,black_nh,0,53.21458597019614,0,0.007914126408417035
0641866,82,2545.800574643619,asian_nh,12,133.40601066139448,0.14634146341463414,0.027948606110794083
0641866,82,2545.800574643619,hisp,0,53.21458597019614,0,0.007914126408417035
0641880,1998,267625.3914875139,white_nh,225,9698.358293068246,0.11261261261261261,0.003279625119807294
0641880,1998,267625.3914875139,black_nh,25,562.0790643101966,0.012512512512512513,1.512972658048033e-4
0641880,1998,267625.3914875139,asian_nh,0,53.21458597019614,0,1.3330293749754794e-5
0641880,1998,267625.3914875139,hisp,1678,268884.80335547525,0.8398398398398398,0.020070202828428835
0641908,26,119.73281843294129,white_nh,24,106.79871767629642,0.9230769230769231,0.30890470520672986
0641908,26,119.73281843294129,black_nh,0,53.21458597019614,0,0.07871980173105939
0641908,26,119.73281843294129,asian_nh,0,53.21458597019614,0,0.07871980173105939
0641908,26,119.73281843294129,hisp,2,5.912731774466237,0.07692307692307693,0.009794689334387237
0641922,17213,261994.62310954262,white_nh,10624,163422.36306020824,0.6172079242433045,2.1471269153198254e-4
0641922,17213,261994.62310954262,black_nh,159,3477.0558291220514,0.009237204438505781,1.1659966814517032e-5
0641922,17213,261994.62310954262,asian_nh,592,13200.54323223178,0.0343926102364492,4.350722916882048e-5
0641922,17213,261994.62310954262,hisp,5106,163422.36306020824,0.2966362632893743,4.7375847177059716e-4
0641936,8537,1117.8758511100227,white_nh,2903,64568.509160114925,0.34004919761040175,8.841783623678263e-4
0641936,8537,1117.8758511100227,black_nh,64,1077.5953658964718,0.00749677872789036,1.4784949008463194e-5
0641936,8537,1117.8758511100227,asian_nh,736,36901.35900444379,0.08621295537073914,5.062138227927292e-4
0641936,8537,1117.8758511100227,hisp,4581,54208.29445404237,0.5366053648822772,7.393816479858146e-4
0641992,88232,748.3301152058832,white_nh,56218,484483.69841372495,0.6371611206818388,6.219486150086707e-5
0641992,88232,748.3301152058832,black_nh,1039,53362.40426455779,0.011775772962190588,6.854602842084934e-6
0641992,88232,748.3301152058832,asian_nh,9236,314826.7292430779,0.10467857466678757,4.043971054366211e-5
0641992,88232,748.3301152058832,hisp,17783,338448.0926820705,0.20154819113246894,4.3471118512395736e-5
0642006,13831,378.41483356583916,white_nh,625,23281.75090769671,0.045188345022051914,1.2170097605521195e-4
0642006,13831,378.41483356583916,black_nh,71,3695.457359041398,0.005133395994505097,1.931789765497472e-5
0642006,13831,378.41483356583916,asian_nh,2931,46309.99344056319,0.21191526281541465,2.4199598422194665e-4
0642006,13831,378.41483356583916,hisp,10038,61516.06138154674,0.7257609717301714,3.2053236607418984e-4
0642104,3283,55346.49532062712,white_nh,2006,25951.349303868225,0.6110265001522998,0.00432499217794417
0642104,3283,55346.49532062712,black_nh,0,53.21458597019614,0,4.93729324096286e-6
0642104,3283,55346.49532062712,asian_nh,112,3477.0558291220514,0.03411513859275053,3.1662767078773676e-4
0642104,3283,55346.49532062712,hisp,1085,27139.808390535938,0.3304904051172708,0.0019571788546610645
0642146,591,34151.938729316986,white_nh,427,22545.615801775668,0.7225042301184433,0.11558988328353134
0642146,591,34151.938729316986,black_nh,0,53.21458597019614,0,1.5235465419016818e-4
0642146,591,34151.938729316986,asian_nh,0,53.21458597019614,0,1.5235465419016818e-4
0642146,591,34151.938729316986,hisp,164,15834.66523775649,0.27749576988155666,0.03780575721099883
0642202,64403,816.3265306122448,white_nh,31715,340573.3502092553,0.4924460040681335,8.20627287587802e-5
0642202,64403,816.3265306122448,black_nh,923,71219.22376918174,0.014331630514106486,1.7170542525151062e-5
0642202,64403,816.3265306122448,asian_nh,5549,195853.32729741966,0.08616058258155676,4.721775341744224e-5
0642202,64403,816.3265306122448,hisp,23586,453677.99632301996,0.3662251758458457,1.0935299923511736e-4
0642230,162,1915.7250949270606,white_nh,104,562.0790643101966,0.6419753086419753,0.05150172412448076
