stplfips,agecat,total,total_se2,age_ct,age_ct_se2,age_share,age_share_se2
0621600,over65,2410,15682.042848828076,0,53.21458597019614,0,9.162133222602251e-6
0621712,under18,103314,1513.6593342633566,26407,292717.1774096691,0.25559943473295005,2.7414675705858676e-5
0621712,over65,103314,1513.6593342633566,12184,183152.77944586618,0.11793174206787076,1.7157153612836056e-5
0621782,under18,43932,748.3301152058832,12851,117968.23754399904,0.29252025858144404,6.108960852047894e-5
0621782,over65,43932,748.3301152058832,5624,93498.39709537051,0.12801602476554674,4.8437893472306364e-5
0621796,under18,24982,478.93127373176515,4487,16142.127290028731,0.1796093187094708,2.583987955608778e-5
0621796,over65,24982,478.93127373176515,4648,22728.540941048217,0.18605395885037226,3.639152448167556e-5
0621810,under18,5508,129075.30418233386,1248,22181.98279764599,0.22657952069716775,9.495822410256877e-4
0621810,over65,5508,129075.30418233386,708,7877.236906532645,0.12854030501089325,3.2994517447637725e-4
0621880,under18,45104,614961.059118079,12086,117134.54236379931,0.2679584959205392,7.92824123931759e-5
0621880,over65,45104,614961.059118079,6428,76169.2889016177,0.14251507626818022,4.358078855457669e-5
0621894,under18,1487,82328.8772276679,419,11840.614924104546,0.28177538668459984,0.008311129149756303
0621894,over65,1487,82328.8772276679,167,4553.173012074907,0.11230665770006724,0.0025287843081134172
0621936,under18,6286,132593.37958814128,1201,32817.13953123123,0.19105949729557747,7.080308458129754e-4
0621936,over65,6286,132593.37958814128,736,14930.017276263154,0.11708558701877188,4.2384549731374493e-4
0621964,under18,1884,27946.896277750573,356,8650.696131780009,0.18895966029723993,0.0021560574775491056
0621964,over65,1884,27946.896277750573,225,1658.8908084736836,0.11942675159235669,5.796635809255732e-4
0622006,under18,251,4553.173012074907,53,1286.3887066823108,0.21115537848605578,0.017196206898339242
0622006,over65,251,4553.173012074907,69,478.93127373176515,0.2749003984063745,0.013063532342838205
0622020,under18,166228,2545.800574643619,45285,273316.0262747019,0.2724270279375316,9.884538830525346e-6
0622020,over65,166228,2545.800574643619,18872,163422.36306020824,0.11353081310007941,5.913109431446696e-6
0622034,under18,1052,24789.497510185607,151,3549.1172476233587,0.1435361216730038,0.0036684116085362478
0622034,over65,1052,24789.497510185607,182,1561.3307341949908,0.17300380228136883,0.0020812143249999385
0622146,under18,247,5866.908103214125,54,2733.160262747018,0.21862348178137653,0.040202989600090666
0622146,over65,247,5866.908103214125,42,715.4405447104148,0.1700404858299595,0.014507285114797439
0622230,under18,115958,3265.3061224489793,27765,299332.0460823532,0.23944014212042292,2.2247442088955154e-5
0622230,over65,115958,3265.3061224489793,14629,125174.00984839386,0.12615774677038238,9.305342955649373e-6
0622286,under18,341,5500.318733197217,97,1038.0539721547286,0.2844574780058651,0.012754603719887441
0622286,over65,341,5500.318733197217,31,230.96608494008737,0.09090909090909091,0.002377200613628086
0622300,under18,31409,1330.3646492549035,7567,84435.28792232147,0.2409182081568977,8.551029869865325e-5
0622300,over65,31409,1330.3646492549035,4375,49502.868598774956,0.13929128593715176,5.015285237370193e-5
0622328,under18,378,10805.886863572952,99,3405.733502092553,0.2619047619047619,0.01864808775949699
0622328,over65,378,10805.886863572952,34,402.4353063996082,0.08994708994708994,0.0034283762145315123
0622360,under18,103,6536.89452240833,10,83.14779057843147,0.0970873786407767,0.013645422842024774
0622360,over65,103,6536.89452240833,25,533.6240426455779,0.24271844660194175,0.08659884719100637
0622370,under18,7229,185239.97376225275,2108,60017.55342245545,0.29160326462857933,8.470620475052303e-4
0622370,over65,7229,185239.97376225275,721,7346.938775510203,0.09973716973301978,1.7584937092003563e-4
0622412,under18,16929,1158.8954277953824,4004,20408.163265306124,0.2365172189733593,7.098384557478606e-5
0622412,over65,16929,1158.8954277953824,1923,35284.59640986318,0.11359206096048201,1.230661045018767e-4
0622454,under18,13358,265741.8168716105,2393,49773.74562319269,0.1791435843689175,2.3114959257534659e-4
0622454,over65,13358,265741.8168716105,1748,24029.711477166693,0.13085791286120677,1.6017055508971593e-4
0622457,under18,14451,499836.1064661265,3752,88727.93119058396,0.2596360113486956,5.862255944033585e-4
0622457,over65,14451,499836.1064661265,1343,32597.25981836827,0.092934745000346,1.7676593428534178e-4
0622510,under18,3663,179528.6444138543,631,28765.80962851415,0.17226317226317225,0.002540940943405181
0622510,over65,3663,179528.6444138543,492,10679.871767629642,0.13431613431613432,0.0010373500917536806
0622524,under18,5606,77179.25739784368,1367,30864.82940844966,0.2438458794149126,8.360801447498118e-4
0622524,over65,5606,77179.25739784368,871,6734.971036852948,0.15536924723510526,2.7358586893299556e-4
0622587,under18,4648,97252.98177215658,1058,24029.711477166693,0.22762478485370052,8.790419815732609e-4
0622587,over65,4648,97252.98177215658,787,4074.241738343142,0.16932013769363166,3.176471033532165e-4
0622594,under18,11524,1375.0796832993042,996,16452.54570818821,0.08642832349878514,1.2380990307145204e-4
0622594,over65,11524,1375.0796832993042,1483,8650.696131780009,0.1286879555709823,6.49680470132796e-5
0622622,under18,4177,98012.76780517549,1166,36435.731377204575,0.27914771367009816,0.0016505815161275983
0622622,over65,4177,98012.76780517549,507,8764.146672702582,0.12137898012927939,5.85084097802939e-4
0622678,under18,62595,1158.8954277953824,12839,92017.25778586674,0.20511222941129484,2.3472525768292132e-5
0622678,over65,62595,1158.8954277953824,10582,107759.53658964716,0.16905503634475597,2.749431620469417e-5
0622790,under18,7449,147.81829436165592,2129,29387.755102040814,0.2858101758625319,5.294098081755513e-4
0622790,over65,7449,147.81829436165592,951,18874.918007039843,0.12766814337494967,3.401211866011818e-4
0622804,under18,150783,2023.63244981107,38109,36e4,0.25274069357951495,1.582857326705569e-5
0622804,over65,150783,2023.63244981107,16395,166880.94160253508,0.10873241678438551,7.339047773945854e-6
0622846,under18,3732,137507.96832993042,1086,33481.21321865097,0.2909967845659164,0.0032399367019711888
0622846,over65,3732,137507.96832993042,549,7556.840753503755,0.14710610932475884,7.562230616504002e-4
0622972,under18,709,9108.932844301144,166,1862.8800546927691,0.23413258110014104,0.004699230988009991
0622972,over65,709,9108.932844301144,209,1609.7412255984327,0.2947813822284908,0.004776929366158779
0623000,under18,5798,208979.59183673467,1655,50045.36173908223,0.28544325629527423,0.0019952096014759333
0623000,over65,5798,208979.59183673467,810,9939.302112877745,0.13970334598137288,4.169927041794731e-4
0623042,under18,27024,715.4405447104148,5236,80939.38526066834,0.19375370041444642,1.107940663102025e-4
0623042,over65,27024,715.4405447104148,4188,43730.564203952286,0.1549733570159858,5.9857026706659196e-5
0623126,under18,10520,355.1334522038784,3282,30651.60151883297,0.31197718631178706,2.7665063525084214e-4
0623126,over65,10520,355.1334522038784,1317,11188.366700233737,0.12519011406844108,1.0104599647458558e-4
0623150,under18,3024,240070.2136898218,719,42971.147716669286,0.23776455026455026,0.006183205493909679
0623150,over65,3024,240070.2136898218,619,21108.821980580367,0.2046957671957672,0.003408342788680968
0623168,under18,7616,651.8786781349027,1366,14487.671030385898,0.179359243697479,2.494110051633324e-4
0623168,over65,7616,651.8786781349027,1493,15682.042848828076,0.19603466386554622,2.6993204368485724e-4
0623182,under18,112790,2023.63244981107,28672,192105.02489814392,0.2542069332387623,1.509043637198407e-5
0623182,over65,112790,2023.63244981107,13387,106565.5343169409,0.11868960014185655,8.374509504600902e-6
0623196,under18,171,1375.0796832993042,18,83.14779057843147,0.10526315789473684,0.0033645952792170984
0623196,over65,171,1375.0796832993042,30,178.8601361776037,0.17543859649122806,0.007564149748364457
0623210,under18,2005,48694.672074352595,609,17723.78303969845,0.30374064837905235,0.003291345553206759
0623210,over65,2005,48694.672074352595,130,1158.8954277953824,0.06483790523690773,3.392032604460495e-4
0623294,under18,30704,290747.1290915642,5642,82328.8772276679,0.18375455966649296,7.691614123219473e-5
0623294,over65,30704,290747.1290915642,6549,47627.42398906145,0.21329468473163105,6.455134806336733e-5
0623350,under18,10222,233562.14373481396,1994,47098.23449524671,0.19506945803169634,3.6569018861191304e-4
0623350,over65,10222,233562.14373481396,1924,19719.330013580806,0.18822148307571904,2.679108451195482e-4
0623462,under18,31121,502418.12252288865,7223,204007.35396014448,0.23209408438032197,1.826951193772934e-4
0623462,over65,31121,502418.12252288865,4673,53362.40426455779,0.15015584332123003,6.679318768285417e-5
0623532,under18,443,24408.12631073253,80,1862.8800546927691,0.18058690744920994,0.013548445428039992
0623532,over65,443,24408.12631073253,149,1708.7794828207427,0.3363431151241535,0.02277713541518852
0623616,under18,10738,378.41483356583916,3384,39757.20845151098,0.31514248463401007,3.444755118747817e-4
0623616,over65,10738,378.41483356583916,858,13340.601066139447,0.07990314769975787,1.1567777852651353e-4
0623630,under18,103,2484.8255282194364,21,195.48969429328997,0.20388349514563106,0.02816289127672207
0623630,over65,103,2484.8255282194364,31,452.69352648257126,0.30097087378640774,0.06388704283063298
0623812,under18,57,269.39884147411794,13,94.60370839145979,0.22807017543859648,0.024804757441262742
0623812,over65,57,269.39884147411794,5,9.238643397603495,0.08771929824561403,0.003481557403761775
0623826,under18,3671,77517.391746196,578,9460.370839145979,0.1574502860256061,8.446029508510384e-4
0623826,over65,3671,77517.391746196,653,8650.696131780009,0.17788068646145463,8.239289929683464e-4
0623910,under18,1458,13061.224489795917,299,2424.5895732670615,0.20507544581618656,0.0013989754398138201
0623910,over65,1458,13061.224489795917,407,3920.510712207019,0.27914951989026066,0.0013654958496455245
0623973,under18,4848,298667.2333034617,1213,79219.14986003457,0.2502062706270627,0.0025750484673111446
0623973,over65,4848,298667.2333034617,520,4972.607422326105,0.10726072607260725,3.577711748576575e-4
0623980,under18,393,20932.548664554095,113,2023.63244981107,0.2875318066157761,0.024307190579566696
0623980,over65,393,20932.548664554095,16,230.96608494008737,0.04071246819338423,0.0017200622238032902
