tract,agg_rent,agg_homeval
06009000220,535100,402834900
06009000300,674000,.
06009000400,258000,.
06009000501,381100,313411500
06009000503,146900,182888500
06009000504,25700,51649000
06011000100,450000,412476000
06011000200,514200,298458000
06011000300,584800,365996900
06011000400,253600,141607100
06011000500,381300,.
06013301000,316600,402637300
06013302005,1241700,.
06013302006,195100,327850700
06013302007,815600,.
06013302008,894000,624833500
06013302009,1840000,487143600
06013302010,682800,.
06013303102,1170700,1002604000
06013303103,2289800,.
06013303201,1696800,963142700
06013303202,692000,813517900
06013303203,1612700,1183932700
06013303204,754100,424487100
06013303205,1134000,.
06013304001,628100,.
06013304002,226500,.
06013304003,588500,728856500
06013304004,720500,783788600
06013304005,1056300,844956800
06013305000,1874000,149962100
06013306002,363700,.
06013306003,949100,197626800
06013306004,823500,219963600
06013307101,666100,.
06013307102,1144900,.
06013307201,574100,.
06013307202,1467900,.
06013307204,439500,315413700
06013307205,2147700,242122800
06013308001,1316400,.
06013308002,603500,394679000
06013309000,877000,.
06013310000,1284000,192086000
06013311000,895700,.
06013312000,376100,.
06013313101,1728000,294058700
06013313102,1100800,233494900
06013313103,1592400,640598700
06013313203,431200,.
06013313204,1073500,389144400
06013313205,214900,111498500
06013313206,979000,293394600
06013314102,762400,.
06013314103,1241000,.
06013314104,1622400,207977000
06013314200,914900,.
06013315000,402100,.
06013316000,372800,21300000
06013317000,875800,151971800
06013318000,886700,414994700
06013319000,1650400,810683900
06013320001,586100,334842900
06013320003,298200,441658300
06013320004,1481000,766469900
06013321101,1895600,796276000
06013321102,995500,1275344300
06013321103,445300,919542600
06013321200,2257300,.
06013322000,1450900,1169945700
06013323000,742600,747613900
06013324001,4083600,302330000
06013324002,2926100,510826800
06013325000,1268800,965094400
06013326000,403200,943969600
06013327000,1328300,.
06013328000,1775800,.
06013329000,1008400,.
06013330000,961800,560396600
06013331000,1521600,726576500
06013332000,1114500,966941800
06013333101,815900,474755000
06013333102,701600,722848500
06013333200,1218800,.
06013334001,895900,412969000
06013334004,2045900,709011400
06013334006,741400,770340500
06013334200,818300,.
06013335000,748100,341500000
06013336101,1845800,61258000
06013336102,3105300,.
06013336201,913400,223457100
06013336202,1807500,62982000
06013337100,452700,826897000
06013337200,2127000,638724100
06013337300,1025000,1302980000
06013338101,1486200,567126500
06013338102,377800,675021000
06013338201,354500,863675000
06013338203,3059800,715394400
06013338204,2674200,851701500
06013338301,346400,.
06013338302,713300,1738236000
06013339001,3260200,.
06013339002,4953200,345239900
06013340001,2203400,842213000
06013340002,1391400,.
06013341000,1234400,1398700000
06013343001,1884000,836935000
06013343002,1096500,1084565000
06013343003,416800,1453071400
06013345101,922300,978521500
06013345102,228000,771098200
06013345103,612200,1240189900
06013345105,890500,1584171300
06013345108,2127800,.
06013345111,1724300,.
06013345112,1979800,.
06013345113,126100,.
06013345114,714500,.
06013345115,1191100,1520872700
06013345116,411900,588685200
06013345202,2728800,1155913500
06013345203,1700900,.
06013345204,170800,1851989300
06013346101,340800,1351012300
06013346102,325200,2887105000
06013346201,521700,.
06013346203,211800,.
06013346204,578100,2868075200
06013347000,404400,.
06013348000,513900,2381734000
06013349000,1604400,1430545000
06013350000,2202800,1600180000
06013351101,74600,875823900
06013351102,253600,826915000
06013351103,73500,774716100
06013351200,183700,2539249100
06013352101,173800,828707400
06013352102,310700,1933566000
06013352201,1295800,.
06013352202,327200,766504700
06013353001,302800,.
06013353002,387400,.
06013354001,215400,690340000
06013354002,766300,3407423000
06013355107,551000,511125000
06013355108,2020400,1017900400
06013355109,734100,608333500
06013355110,691300,280243000
06013355111,858000,494294900
06013355112,281700,.
06013355113,441500,.
06013355114,1201100,.
06013355115,2882000,949128200
06013355116,1122500,1900297600
06013355117,674300,.
06013355200,2065100,892980000
06013355301,735800,1536285900
06013355302,.,1219056600
06013355304,436100,1744782600
06013355306,335500,1113177900
06013356001,338200,393840600
06013356002,382600,.
06013357000,976300,271640500
06013358000,1325600,355487500
06013359102,1119100,483990600
06013359103,946800,557137500
06013359104,402600,194923900
06013359105,507900,.
06013359202,802800,.
06013359203,784300,787076500
06013359204,295700,667242900
06013360101,513700,617704600
06013360102,396600,.
06013360200,947900,490291800
06013361000,950700,.
06013362000,487000,.
06013363000,1037500,759317000
06013364002,1017900,479695300
06013365002,1063300,165129200
06013365003,2514800,.
06013366001,880500,.
06013366002,1203900,.
06013367100,1067400,323977900
06013367200,1128500,.
06013368001,896000,325095200
06013368002,772700,.
06013369001,2092800,.
06013369002,663200,.
06013370000,567300,355057000
06013371000,1127700,.
06013372000,1236600,424070000
06013373000,619800,.
06013374000,1181600,233991500
06013375000,1109300,.
06013376000,1127700,145637500
06013377000,1470700,.
06013378000,1038800,707278000
06013379000,1333600,179831000
06013380000,2233300,.
06013381000,1424500,.
06013382000,1740600,.
06013383000,1220000,499055000
06013384000,368100,921239000
06013385100,300900,844045000
06013385200,282000,.
06013386000,1639900,.
06013387000,986000,313725300
06013388000,861100,304960500
06013389100,811800,203384200
06013389200,969400,.
06013390100,342300,539673300
06013390200,222600,435680700
06013391000,412700,.
06013392000,172100,.
06013392200,2176100,717596800
06013392300,266900,489938000
06013990000,.,.
06015000101,936400,.
06015000102,298100,194707700
06015000104,153900,57094300
06015000105,848000,326181700
06015000201,323600,292794800
06015000202,262800,.
06015000203,126200,35275000
06015990000,.,.
06017030200,1048400,375171000
06017030301,604200,.
06017030302,782400,.
06017030401,514300,.
06017030402,704200,.
06017030502,150200,433125000
06017030504,349300,328022000
06017030505,341400,313595700
06017030601,389000,629655200
06017030602,422000,744983300
06017030603,130200,366653700
06017030701,318700,.
06017030704,761200,1197724500
06017030706,719700,917864000
06017030709,93300,942669900
06017030710,198200,1085250600
06017030801,330000,565889600
06017030803,1179200,945538300
06017030804,220900,.
06017030807,393000,472129400
06017030808,608600,767901700
06017030809,374400,217012700
06017030810,726600,270361200
06017030901,202500,467313200
06017030902,233800,792481300
06017031000,974900,.
06017031100,508100,.
06017031200,604900,.
06017031301,333600,402267000
06017031302,519900,.
06017031402,254500,.
06017031404,126800,.
06017031405,107700,.
06017031406,267300,584414700
06017031502,924000,.
06017031503,70100,358981300
06017031504,352100,421448000
06017031600,951400,.
06017031700,105000,581738200
06017031800,855500,1132163500
06017031900,.,.
06017032000,74200,.
06017990000,.,.
06019000100,352800,.
06019000200,418700,27016000
06019000300,420400,.
06019000400,526600,.
06019000501,516400,.
06019000502,574800,.
06019000600,1032300,.
06019000700,505000,.
06019000800,172700,26102000
06019000901,333100,.
06019000902,607600,40376000
06019001000,498200,.
06019001100,338800,.
06019001201,674500,78734600
06019001202,783900,.
06019001301,729700,.
06019001303,279100,.
06019001304,721000,.
06019001407,1089700,.
06019001408,485300,.
06019001409,218900,.
06019001410,813300,.
06019001411,841800,.
06019001412,170800,152726300
06019001413,511200,.
06019001414,548400,468952800
06019001500,251900,75089600
06019001600,570000,.
06019001700,734200,.
06019001800,400800,232610100
06019001900,285700,.
06019002000,889800,54095700
06019002100,919500,150174000
06019002200,895500,132928300
06019002300,685500,54879600
06019002400,768800,.
06019002501,925800,30145200
06019002502,737800,.
06019002601,741100,.
06019002602,323300,90810000
06019002701,556800,74921600
06019002702,764300,.
06019002800,727800,.
06019002903,760800,.
06019002904,285600,.
06019002905,547700,.
06019002906,770300,134923800
06019003001,455600,.
06019003003,859900,53837000
06019003004,198800,78274300
06019003102,1821000,.
06019003103,1280400,121987000
06019003104,922700,96868700
06019003201,812200,93466700
06019003202,1127100,.
06019003301,369700,.
06019003302,905500,.
06019003400,912300,.
06019003500,893400,191571000
06019003600,702200,248560800
06019003701,605500,.
06019003702,906600,.
06019003803,823200,.
06019003804,622600,.
06019003805,1156400,106179900
06019003807,603400,.
06019003808,447900,209154200
06019003809,1085800,126825000
06019003810,700100,.
06019003900,430400,.
06019004001,857400,273433400
06019004002,756600,192622800
06019004100,168900,.
06019004205,1174500,.
06019004207,843600,.
06019004208,595200,743562300
06019004210,1023500,124479700
06019004211,1072500,336950000
06019004212,3330600,248411400
06019004213,596900,168371300
06019004214,799300,523702500
06019004215,550600,253111800
06019004216,313300,.
06019004301,262500,986594000
06019004302,457700,.
06019004303,345200,.
06019004404,850000,.
06019004405,405500,432612400
06019004406,1312900,204841000
06019004408,1268800,223092000
06019004409,879500,169530500
06019004503,1119600,.
06019004504,1082600,.
06019004505,1472300,.
06019004506,452000,.
06019004601,372400,.
06019004602,192200,299024700
06019004701,1382000,.
06019004703,634500,.
06019004704,868000,59819000
06019004801,929400,.
06019004802,817300,.
06019004901,639800,188099300
06019004902,247000,113723600
06019005000,894000,.
06019005100,1219600,110411600
06019005202,596100,49012400
06019005203,759200,.
06019005204,844200,81189800
06019005301,907300,149439100
06019005302,1066400,.
06019005304,1331800,.
06019005305,629100,91582000
06019005403,877000,.
06019005405,405500,255697400
06019005406,419800,227689900
06019005407,645600,161824100
06019005408,492900,.
06019005409,1059000,77556200
06019005410,650700,95382500
06019005503,1257800,637835100
06019005504,424800,326693500
06019005505,1101100,521439000
06019005507,930400,424194000
06019005508,774300,443776000
06019005509,1015100,226102700
06019005510,1809100,.
06019005512,828300,312598200
06019005513,405300,274866900
06019005514,717900,303841400
06019005515,176100,262271500
06019005516,2014300,360941000
06019005517,1109300,963401500
06019005518,363300,.
06019005520,133100,.
06019005522,745500,464085700
06019005524,698500,429124300
06019005525,48200,283675300
06019005602,1320500,121483000
06019005605,113100,99609000
06019005606,615100,243836900
06019005607,1483700,15207000
06019005608,624000,68726800
06019005701,703400,.
06019005702,588500,.
06019005703,318300,394552000
06019005704,947300,.
06019005801,1317000,174429900
06019005802,422300,463645400
06019005804,905500,197697300
06019005805,186200,.
06019005904,226000,.
06019005905,433500,931838300
06019005906,190100,238451900
06019005907,499400,235019200
06019005909,516800,.
06019005911,407700,427836200
06019005912,148500,.
06019006000,997600,.
06019006100,882000,273589100
06019006201,250000,.
06019006202,750500,.
06019006300,451600,630585000
06019006402,162400,272473600
06019006403,153900,398510500
06019006404,270600,.
06019006405,343800,.
06019006501,759100,.
06019006502,517400,61950000
06019006602,751400,.
06019006603,353300,72351000
06019006604,926600,.
06019006700,542800,354003700
06019006802,294300,.
06019006900,303700,.
06019007002,675200,127936000
06019007003,842100,.
06019007004,556800,.
06019007100,747300,154096700
06019007201,863800,.
06019007202,358400,213426200
06019007300,452900,221157000
06019007400,342700,104871000
06019007500,459700,166527000
06019007600,530100,.
06019007700,519500,.
06019007801,222100,43004000
06019007802,740900,23094900
06019007901,.,.
06019007902,325400,.
06019008000,604600,.
06019008100,844500,.
06019008200,590100,.
06019008301,711900,.
06019008302,657700,90392000
06019008401,825300,145295500
06019008402,120100,33894800
06019008501,501100,.
06019008502,1033400,126019000
06021010100,1005500,.
06021010200,315200,351663500
06021010300,163300,.
06021010400,1096300,305961300
06021010501,372500,.
06021010502,135300,.
06023000100,1247000,88264000
06023000200,1127000,.
06023000300,968300,.
06023000400,603800,.
06023000500,1277400,.
06023000600,809400,376505000
06023000700,822000,406598100
06023000800,1316800,265286200
06023000900,624100,740657100
06023001000,1916400,.
06023001101,1636200,302742000
06023001200,922000,.
06023001300,281100,.
06023010102,220000,420914500
06023010200,257400,.
06023010300,429900,335478200
06023010400,546600,387435000
06023010501,1137200,428307000
06023010502,751900,.
06023010600,215200,.
06023010700,647300,.
06023010800,683300,318950000
