tract,agg_rent
06023010502,751900
06023010600,215200
06023010700,647300
06023010800,683300
06023010901,696700
06023010902,294600
06023011000,678200
06023011100,769500
06023011200,536900
06023011500,566000
06023011600,564600
06023940000,192200
06023990100,.
06025010101,.
06025010102,405700
06025010200,265400
06025010300,41200
06025010400,763900
06025010500,835000
06025010600,654400
06025010700,425900
06025010800,52700
06025010900,608500
06025011000,1025400
06025011100,293700
06025011201,604200
06025011202,796000
06025011300,653600
06025011400,364500
06025011500,643400
06025011600,1076800
06025011700,468900
06025011801,99900
06025011802,840800
06025011803,528600
06025011900,795100
06025012001,573100
06025012002,814800
06025012100,873700
06025012200,508100
06025012301,95300
06025012302,620300
06025012400,38700
06025940000,130100
06027000100,118500
06027000200,248900
06027000300,112000
06027000400,1460600
06027000500,246800
06027000800,310300
06029000101,2977700
06029000102,580300
06029000200,1775800
06029000300,1113400
06029000400,841000
06029000503,462000
06029000504,692400
06029000505,571100
06029000506,1159100
06029000507,247100
06029000600,1621100
06029000700,864800
06029000800,605400
06029000902,569200
06029000903,610200
06029000904,721600
06029000905,234100
06029000906,589600
06029000907,318400
06029000908,654400
06029000909,142300
06029000910,1412200
06029001000,563000
06029001101,651300
06029001102,751800
06029001103,783900
06029001201,326200
06029001202,876300
06029001300,1409200
06029001400,1479300
06029001500,343300
06029001600,400400
06029001700,1009100
06029001801,1170900
06029001802,1549000
06029001901,654100
06029001902,1031900
06029002000,1475300
06029002100,469100
06029002200,726000
06029002301,1427100
06029002302,412100
06029002400,881600
06029002500,1122000
06029002600,421800
06029002700,725300
06029002804,548400
06029002806,896900
06029002807,238400
06029002808,1651500
06029002811,209300
06029002812,1260000
06029002813,1085200
06029002814,924600
06029002815,642900
06029002816,887800
06029002817,1344400
06029002818,609500
06029002819,1080900
06029002820,599200
06029002821,668400
06029002900,1300800
06029003000,1022900
06029003103,386200
06029003112,984500
06029003113,671300
06029003114,803100
06029003115,757400
06029003121,1345800
06029003122,951400
06029003123,2934500
06029003124,570400
06029003202,2035300
06029003203,100000
06029003204,1002400
06029003205,813100
06029003206,915800
06029003303,121500
06029003304,144400
06029003305,576700
06029003306,450200
